id	title	startTime	endTime	url	tags	address	name	latitude	longitude
1077	Info Market	2022-11-10T18:30:00Z	2022-11-10T21:00:00Z	https://fb.me/e/2Vk7eEK1r	Culture, Culinary	Celestijnenlaan 200H 00.91, 3001 Leuven	Inkomhal Quadrivium (00.91)		
1078	Consulting BR Launch - Greek Evening	2022-11-21T18:30:00Z	2022-11-21T22:00:00Z	https://fb.me/e/5kKPfavuF	Lecture, Career	 Kasteelpark Arenberg 41, 3001 Heverlee	Aula van de Tweede Hoofdwet		
1079	Historia & Ifese | Lezing Austrofascisme	2022-11-17T19:00:00Z	2022-11-17T20:30:00Z	https://www.facebook.com/events/1212656299660258	Lecture	Erasmusplein 2	MSI 02.28	50.87763105856611	4.707853840289293
1080	Het Groot Dictee der Leuvense Studenten	2022-11-22T17:30:00Z	2022-11-22T22:30:00Z	https://fb.me/e/2tDmHI09A	Education, Culture, Quiz	Andreas Vesaliusstraat 13, Leuven	Campus Groep T		
1081	Antwerp Trip	2022-11-19T08:20:00Z	2022-11-19T18:15:00Z	https://fb.me/e/3YdLMw14c	Culture		Antwerp, Belgium		
1082	Fakbartocht (EJW)	2022-11-10T19:00:00Z	2022-11-10T22:59:00Z	https://fb.me/e/1VjOkOpNf	Party, First-year students	Leuvense Fakbars			
1083	Halloweenwalk LBK & VTK	2022-10-31T18:00:00Z	2022-10-31T22:00:00Z	https://fb.me/e/22gMZLunp	International	Kasteelpark Arenberg 50, 3001 Leuven, België			
1084	Doopfeestje: Minionfeestje	2022-11-09T21:00:00Z	2022-11-09T23:00:00Z		Party		't ElixIr	50.86978435349011	4.6955907806732045
1085	VTK Bureau 4	2022-11-09T11:30:00Z	2022-11-09T13:00:00Z	https://fb.me/e/2ZoZjtTVJ	Education		Kasteel 00.29	50.86311463122269	4.683327721057116
1086	Pingpong	2022-11-14T16:00:00Z	2022-11-14T18:00:00Z	https://vtk.be/en/calendar/view/14_11_2022_17_00_00_pingpong/	Sport		Gebouw de Nayer	50.867543162409376	4.6907949909545765
1087	VTKuisine - Ramen	2022-11-09T11:30:00Z	2022-11-09T13:00:00Z	https://on.vtk.be/ramen	Culinary		TTI	50.86106951001036	4.683381365237413
1088	Infosessie over blok en examens	2022-11-15T11:30:00Z	2022-11-15T13:00:00Z	https://vtk.be/nl/calendar/	Education	Aula 200L 00.06			
1089	VTKuisine	2022-11-16T11:30:00Z	2022-11-16T13:00:00Z	https://www.vtk.be	Culinary		TTI	50.86178734422913	4.68345646708983
1090	Join Quivr	2022-11-16T19:30:00Z	2022-11-16T22:30:00Z	https://quivr.be/nl/join	Career	Edward van Evenstraat 4, 3000 Leuven	AGORA 04.A01 - Saint Petersburg		
1091	Katerdag	2022-11-10T19:00:00Z	2022-11-11T04:00:00Z	https://www.facebook.com/events/790851561982437?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22home%22%7D%2C%7B%22mechanism%22%3A%22search_results%22%2C%22surface%22%3A%22search%22%7D]%2C%22ref_notif_type%22%3Anull%7D					
1092	Beer Tasting	2022-11-20T20:00:00Z	2022-11-20T22:00:00Z	https://www.facebook.com/events/679882403752668?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	Culture, Party	Oude Markt 3	Ambiorix		
1093	Crack A Case [VTK x Ekonomika x AFC]	2022-11-15T09:45:00Z	2022-11-15T16:30:00Z	https://www.facebook.com/events/441319558118500?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	Career		Zaal Couvreur	50.873426905465756	4.704619096217333
1094	Historia | Erasmus infosessie	2022-11-16T19:00:00Z	2022-11-16T20:00:00Z	https://www.facebook.com/events/693784258830097	International	Erasmusplein 2	MSI 01.08	50.87765813722795	4.707880662379442
1095	MedTech Convention	2022-11-23T18:00:00Z	2022-11-23T22:00:00Z	https://www.aftleuven.be/events/medtech-convention/	Education, International, Lecture, Career	Naamsestraat 22, 3000 Leuven	University Hall	50.87795769387468	4.700705753264605
1096	Data Engineering Workshop	2022-11-16T17:30:00Z	2022-11-16T21:30:00Z	https://www.eventbrite.be/e/intro-to-data-engineering-workshop-tickets-444141829167	Education, International, Career	Andreas Vesaliusstraat 13, 3000 Leuven	KU Leuven - Campus Groep T - Room: 03.11.02 (3rd Floor)		
1097	Onderwijsbureau 2	2022-11-17T17:30:00Z	2022-11-17T19:30:00Z	https://fb.me/e/1Zlms8ti5	Education		MSI 02.18		
1098	Ideation: In-house Workshop by Vlerick	2022-11-16T17:00:00Z	2022-11-16T21:00:00Z	https://www.facebook.com/events/895853321406706?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22edit_dialog%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22permalink%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22edit_dialog%22%7D]%2C%22ref_notif_type%22%3Anull%7D	Education, International, Workshop, Lecture, Career	Vlamingenstraat 83, 3000 Leuven	Vlerick Business School Leuven		
1099	No/Low Code Workshop	2022-11-21T19:00:00Z	2022-11-21T21:00:00Z	https://www.facebook.com/events/1995906597270502?acontext=%7B%22event_action_history%22%3A[%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22edit_dialog%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22permalink%22%7D%2C%7B%22extra_data%22%3A%22%22%2C%22mechanism%22%3A%22surface%22%2C%22surface%22%3A%22edit_dialog%22%7D]%2C%22ref_notif_type%22%3Anull%7D	Education, International, Workshop, Lecture, Career	Naamsestraat 61, 3000 Leuven	CPR College van Premonstreit 	50.87698455084232	4.700542138514696
1100	Alfa's verjaardag - 2000s BCE	2022-11-14T20:00:00Z	2022-11-15T03:00:00Z	https://fb.me/e/22oCRAng4	Party		Fakbar Letteren		
1101	Europees Geschiedenisoverzicht	2022-12-07T19:00:00Z	2022-12-07T21:00:00Z	https://fb.me/e/28lYFBaNe	Charity, Lecture		Aula Jean Monnet		
1103	Rope skipping initiation // Sportsweek	2022-11-14T20:00:00Z	2022-11-14T22:00:00Z	https://www.facebook.com/events/463296279121203?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	Sport	Tervuursevest 101, 3001 Heverlee	IAH		
1105	Spikeball initiation // Sportsweek	2022-11-15T12:00:00Z	2022-11-15T15:00:00Z	https://www.facebook.com/events/1155879448638491?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	Sport	Tervuursevest 101, 3001 Heverlee	Outdoor beachvolleybal fields		
1106	Salsa initiation // Sportsweek	2022-11-15T17:00:00Z	2022-11-15T18:00:00Z	https://www.facebook.com/events/742554644111569?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	Sport	Tervuursevest 101, 3001 Heverlee	TSH		
1107	Sportsquiz // Sportsweek	2022-11-16T18:00:00Z	2022-11-16T22:00:00Z	https://www.facebook.com/events/415265697486757/?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	Sport	Tervuursevest 101, 3001 Heverlee	GBDN aula 01.01		
1108	Crossfit // Sportsweek	2022-11-17T17:00:00Z	2022-11-17T18:00:00Z	https://www.facebook.com/events/658893935865378/?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D	Sport	Tervuursevest 101, 3001 Heverlee	IAH		
1109	Infosessie Stages	2022-11-14T18:00:00Z	2022-11-14T20:00:00Z		Education, Career		 200G 00.01		
1110	Praesidium Infosessie	2022-11-16T18:30:00Z	2022-11-16T20:30:00Z	https://vtk.be/nl/calendar/	Education		200A - Erik Duval	50.864235346685824	4.6793848738052235
1111	Logi Kaapt De Fak	2022-11-17T21:00:00Z	2022-11-17T23:00:00Z		Party		 't ElixIr	50.869777582682346	4.695816086230455
