,DayOfWeek,HourOfDay,AverageNoise,Std
124,5,4,44.650588235294116,3.6191615177418193
125,5,5,44.70316993464052,3.0153310902582473
126,5,6,48.21127450980392,4.073284567707753
127,5,7,52.7662091503268,5.229527321729431
128,5,8,54.65160947712418,5.079680519549602
129,5,9,56.35724673202615,3.963290036102188
130,5,10,57.67385620915033,3.404287109092432
131,5,11,58.21794117647058,2.518802572392845
132,5,12,58.097908496732025,2.2639305168994452
133,5,13,57.687826797385625,2.2700873871360594
134,5,14,57.86758169934641,1.8984396901351932
135,5,15,57.470620915032676,1.6603585526688156
136,5,16,57.27398692810458,1.4536194797979047
137,5,17,58.0790931372549,1.2049915332398549
138,5,18,58.84436274509804,1.2606103855345823
139,5,19,58.48440359477124,1.7413980659207062
140,5,20,57.66479575163399,2.2294883480865755
141,5,21,56.45861928104575,2.043628785889267
142,5,22,55.51027777777777,2.2539803291231437
143,5,23,53.917761437908496,3.007290378952252
144,6,0,52.23044934640523,3.827285663171981
145,6,1,48.92566176470588,4.532078746570318
146,6,2,46.688153846153845,4.039940945180372
147,6,3,44.9512091503268,4.559187867231903
148,6,4,44.03866013071896,4.012858153203797
149,6,5,43.64976307189542,3.510095899543544
150,6,6,46.770089869281044,5.15635791423352
151,6,7,50.020196078431375,6.2947153818550134
152,6,8,51.900645424836604,6.486802293521378
153,6,9,54.574411764705886,4.762986199428641
154,6,10,56.14165849673202,4.421733845206944
155,6,11,57.26964052287582,3.3042389998593817
156,6,12,57.50982843137255,2.866044423960379
157,6,13,56.89837418300654,2.816256526173458
158,6,14,57.18490196078431,2.8084834067075475
159,6,15,56.724468954248366,2.528787383804558
160,6,16,56.57973039215686,1.9579576906100298
161,6,17,57.64051470588236,1.815004839273155
162,6,18,58.59704248366013,1.7009459056631915
163,6,19,58.750359477124185,1.61373219290375
164,6,20,58.6121568627451,1.90705818515551
165,6,21,57.61471405228758,2.125794136725726
166,6,22,55.675383986928104,2.2038540780917866
167,6,23,52.71125,2.755482732712687
